filename,detected
download (1).jpg,True
download (10).jpg,True
download (11).jpg,True
download (12).jpg,True
download (13).jpg,True
download (14).jpg,True
download (15).jpg,True
download (16).jpg,True
download (2).jpg,True
download (3).jpg,True
download (4).jpg,True
download (5).jpg,True
download (6).jpg,True
download (7).jpg,True
download (8).jpg,True
download (9).jpg,True
download.jpg,True
images (1).jpg,True
images (10).jpg,True
images (11).jpg,True
images (12).jpg,True
images (13).jpg,True
images (14).jpg,True
images (15).jpg,True
images (16).jpg,True
images (17).jpg,True
images (18).jpg,True
images (19).jpg,True
images (2).jpg,True
images (21).jpg,True
images (22).jpg,True
images (23).jpg,True
images (3).jpg,True
images (4).jpg,True
images (5).jpg,True
images (6).jpg,True
images (7).jpg,True
images (8).jpg,True
images (9).jpg,True
images.jpg,True
